store_group,store_id,promo_period_int,period_num,period_year,weekly_velocity_amount,weekly_velocity_quantity
program_test,11,59,7,2019,96.68,6.75
baseline_control,4,61,9,2019,121.43,6.75
baseline_control,4,62,10,2019,110.44,6.25
baseline_control,40,64,12,2019,93.69,6.25
baseline_control,4,67,2,2020,157.41,8.75
baseline_control,3,67,2,2020,193.39,10.75
baseline_control,6,67,2,2020,121.43,6.75
baseline_control,3,69,4,2020,206.88,11.5
baseline_control,10,70,5,2020,139.42,7.75
baseline_control,19,71,6,2020,170.9,9.5
baseline_control,1,71,6,2020,110.43,6.5
baseline_control,25,72,7,2020,107.94,6
baseline_control,3,72,7,2020,175.4,9.75
baseline_control,19,72,7,2020,107.94,6
baseline_control,4,73,8,2020,206.88,11.5
program_test,5,73,8,2020,165.15,9.75
program_test,5,74,9,2020,171.89,10.75
baseline_control,7,74,9,2020,116.93,6.5
baseline_control,10,45,6,2018,9.49,0.5
baseline_control,20,48,9,2018,9.49,0.5
baseline_control,30,49,10,2018,9.49,0.5
baseline_control,14,51,12,2018,8.49,0.5
baseline_control,10,53,1,2019,8.99,0.5
baseline_control,2,54,2,2019,9.49,0.5
baseline_control,12,54,2,2019,8.99,0.5
baseline_control,16,54,2,2019,8.99,0.5
baseline_control,14,56,4,2019,8.49,0.5
baseline_control,22,57,5,2019,9.49,0.5
baseline_control,24,58,6,2019,9.99,0.5
baseline_control,28,59,7,2019,8.49,0.5
film_control,41,61,9,2019,9.49,0.5
baseline_control,2,67,2,2020,9.49,0.5
baseline_control,37,75,10,2020,9.49,0.5
baseline_control,6,48,9,2018,14.24,0.75
baseline_control,2,49,10,2018,14.24,0.75
baseline_control,12,50,11,2018,12.74,0.75
baseline_control,20,51,12,2018,14.24,0.75
baseline_control,13,51,12,2018,12.74,0.75
film_control,33,52,13,2018,12.74,0.75
baseline_control,26,52,13,2018,14.24,0.75
baseline_control,22,54,2,2019,13.49,0.75
baseline_control,32,54,2,2019,13.49,0.75
program_test,11,60,8,2019,14.24,0.75
baseline_control,20,61,9,2019,13.99,0.75
baseline_control,20,65,13,2019,13.49,0.75
baseline_control,31,76,11,2020,14.24,0.75
baseline_control,37,76,11,2020,14.24,0.75
baseline_control,12,46,7,2018,16.74,1
baseline_control,22,48,9,2018,18.99,1
baseline_control,23,48,9,2018,18.99,1
baseline_control,18,50,11,2018,17.99,1
baseline_control,30,51,12,2018,18.99,1
baseline_control,13,52,13,2018,16.49,1
film_control,33,53,1,2019,15.99,1
baseline_control,30,54,2,2019,17.99,1
baseline_control,10,54,2,2019,17.99,1
baseline_control,12,55,3,2019,17.99,1
baseline_control,20,56,4,2019,17.49,1
baseline_control,12,57,5,2019,17.99,1
baseline_control,39,57,5,2019,18.99,1
film_control,33,58,6,2019,16.99,1
baseline_control,28,61,9,2019,17.99,1
baseline_control,37,61,9,2019,18.99,1
baseline_control,7,65,13,2019,18.99,1
baseline_control,16,65,13,2019,17.99,1
baseline_control,21,65,13,2019,18.74,1
baseline_control,37,68,3,2020,18.99,1
baseline_control,37,70,5,2020,18.99,1
baseline_control,42,73,8,2020,16.99,1
baseline_control,18,74,9,2020,17.99,1
baseline_control,31,47,8,2018,23.74,1.25
